project_id;project_name;industry;volume_per_year;manual_cost_rub;accuracy;automation_rate;error_cost_rub;capex_rub;opex_per_year_rub;data_availability;regulatory_sensitivity
P-001;Классификация обращений;поддержка клиентов;90000;50;0.87;0.6;120;1800000;900000;средняя;высокая
P-002;Прогноз спроса;розничная торговля;180000;40;0.87;0.5;200;1800000;1300000;высокая;низкая
P-003;Выявление мошенничества;страхование;180000;60;0.87;0.7;200;1800000;500000;низкая;средняя
P-004;Распознавание документов;финансы;180000;60;0.87;0.6;120;1800000;500000;высокая;высокая
P-005;Предиктивное обслуживание;производство;180000;60;0.95;0.5;80;2500000;900000;высокая;низкая
P-006;Отбор резюме;управление персоналом;180000;60;0.84;0.5;200;4000000;500000;средняя;высокая
P-007;Оценка тональности отзывов;маркетплейс;40000;60;0.95;0.6;120;5500000;1300000;средняя;высокая
P-008;Маршрутизация заявок;телекоммуникации;60000;60;0.84;0.5;80;4000000;500000;низкая;средняя
P-009;Контроль качества по фото;производство;120000;30;0.9;0.8;80;4000000;500000;высокая;средняя
P-010;Рекомендации товаров;электронная коммерция;180000;30;0.84;0.8;200;4000000;500000;высокая;средняя
P-011;Прогноз оттока клиентов;телекоммуникации;60000;30;0.84;0.6;80;4000000;500000;средняя;средняя
P-012;Проверка комплектности документов;здравоохранение;40000;40;0.87;0.7;120;1800000;700000;высокая;низкая
